	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	I_Samuel	II_Samuel	I_Kings	II_Kings	Isaiah	Jeremiah	Ezekiel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Psalms	Job	Proverbs	Ruth	Canticles	Ecclesiastes	Lamentations	Esther	Daniel	Ezra	Nehemiah	I_Chronicles	II_Chronicles
שׁתיה	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0
שׂמחה	0.134	0	0	0.136	0.189	0	0.304	0.243	0.272	0.197	0	2.2	0.882	0.238	0	2.3	0	0	4.55	0	0	0	2.99	0	0.826	0	1.54	0.294	2.39	0	1.58	6.15	0	5.29	0	1.71	2.6	1.44	1.09
שׂק	0.668	0	0.19	0	0	0.275	0	0	0.544	0.787	0.679	1.17	0.504	0.238	0	4.6	1.35	0	13.6	0	0	0	0	0	0	0	0.356	0.294	0	0	0	0	1.47	3.02	0.386	0	0.433	0.24	0
שׂר	3.34	1.38	0	2.31	0.946	0.549	2.73	4.13	4.08	4.92	5.66	2.5	7.06	0.357	9.13	0	2.7	0	0	1.8	0	0	5.97	0	0	0	1.07	1.18	0.897	0	0	2.31	5.88	11.3	6.95	6.25	7.35	11.3	9.28
שׂרה	0	0	0	0	0	0	0.304	0	0	0.197	0	0.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47	0.755	0	0	0	0	0
שׂשׂונ	0	0	0	0	0	0	0	0	0	0	0	0.881	0.882	0	0	2.3	0	0	0	0	0	0	0	0	0.826	0	0.593	0	0	0	0	0	0	1.51	0	0	0	0	0
תאר	0.534	0	0	0	0.189	0	0.304	0.729	0	0.197	0	0.294	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47	0.755	0	0	0	0	0
תוכ	2.27	4.41	3.24	6.26	3.97	7.96	2.43	2.43	2.45	2.16	1.13	1.76	2.9	13.8	0	0	2.7	0	0	5.39	0	0	2.99	3.91	7.43	0	1.66	1.76	2.39	0	1.58	0	0	1.51	0	0	2.16	0.96	1.09
תור	0.134	0	1.71	0.136	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119	0	0	0	4.73	0	0	1.51	1.54	1.71	0	0.24	0
תחת	4.14	7.17	2.29	2.04	5.11	3.84	2.73	2.92	4.63	8.26	9.06	4.84	2.02	2.62	2.28	2.3	2.7	8.7	4.55	5.39	0	6.99	2.99	0	4.13	3.29	2.61	6.47	2.69	2.79	6.31	26.2	2.94	1.51	1.16	0	0.433	3.84	5.09
תכלת	0	4.69	0	0.816	0	0	0	0	0	0	0	0	0.126	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0.546
תכריכ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0
תמרוק	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299	0	0	0	0	2.27	0	0	0	0	0
תפארת	0	0.276	0	0	0.189	0	0.304	0	0	0	0	2.64	0.63	0.714	0	0	0	0	0	0	0	0	0	0	1.65	0	0.474	0	1.79	0	0	0	1.47	0.755	0	0	0	0.72	0.182
תקפ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	1.16	0	0	0	0
