	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	I_Samuel	II_Samuel	I_Kings	II_Kings	Isaiah	Jeremiah	Ezekiel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Psalms	Job	Proverbs	Ruth	Canticles	Ecclesiastes	Lamentations	Esther	Daniel	Ezra	Nehemiah	I_Chronicles	II_Chronicles
נערה	1.2	0.138	0	0	2.65	0	2.13	0.486	0	0.59	0.453	0	0	0	0	0	1.35	0	0	0	0	0	0	0	0	0	0	0.294	0.897	19.6	0	0	0	9.82	0	0	0	0	0
נפשׁ	5.74	2.34	11.4	6.8	6.62	4.39	3.04	8.27	4.63	4.52	3.4	4.99	7.81	5	2.28	0	4.05	0	22.7	5.39	0	10.5	0	3.91	1.65	0	17.1	10.3	16.7	2.79	11	5.38	17.6	4.53	0	0	0	1.2	0.728
סוס	0.267	0.827	0	0	0.757	0.824	0.304	0	0.272	2.56	4.53	1.47	1.89	1.43	2.28	2.3	4.05	0	0	1.8	3.76	10.5	0	3.91	11.6	0	0.593	0.588	0.598	0	0	0.769	0	4.53	0	0.569	0.433	0	1.27
סחרת	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0
ספ	0	0.276	0	0	0	0	0.304	0	0.272	0.393	1.13	0.147	0.378	0.833	0	0	1.35	0	0	0	0	0	2.99	0	0.826	0	0	0	0	0	0	0	0	1.51	0	0	0	0.48	0.546
ספר	0.134	0.551	0	0.272	2.08	1.92	0.304	0.243	1.36	3.34	12.2	2.2	4.79	0.357	0	0	0	0	0	0	3.76	0	0	0	0	3.29	0.474	0.588	0	0	0	0.769	0	9.82	2.32	6.82	6.92	1.2	5.46
סריס	0.534	0	0	0	0	0	0	0.243	0	0.197	1.81	0.44	0.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06	2.7	0	0	0.24	0.182
עבד	11.8	5.93	1.71	1.5	5.49	7.41	1.82	15.1	28.9	14.9	13.1	5.87	4.03	0.952	0	2.3	1.35	0	0	1.8	0	0	0	3.91	2.48	6.58	6.76	3.53	2.99	0	0	3.85	1.47	5.29	4.63	3.98	9.52	6.48	8.01
עוד	7.21	1.79	0.762	1.22	2.84	1.37	3.65	4.13	9.53	2.36	2.94	7.05	6.8	6.91	11.4	6.9	9.46	0	4.55	7.18	15	3.5	8.96	7.81	12.4	3.29	2.61	5.29	1.79	5.59	0	4.62	1.47	2.27	2.7	0	0.433	2.64	2.55
עטרה	0	0	0	0	0	0	0	0	0.272	0	0	0.587	0.126	0.357	0	0	0	0	0	0	0	0	0	0	1.65	0	0.119	0.588	1.49	0	1.58	0	1.47	0.755	0	0	0	0.24	0
עינ	10.7	4.82	3.05	5.44	11.4	3.02	6.08	10.5	10.9	6.1	11.1	6.61	6.8	8.33	2.28	2.3	4.05	0	4.55	3.59	0	3.5	2.99	3.91	15.7	6.58	7.83	13.5	14.3	11.2	11	6.92	14.7	9.82	4.25	1.71	2.6	2.64	5.64
עיר	6.68	0.414	2.67	6.66	11	43.1	17.9	9.24	12.2	10	14.7	6.9	17.4	7.26	5.71	2.3	14.9	8.7	36.4	7.18	3.76	3.5	11.9	0	8.26	0	2.37	0.882	1.2	11.2	4.73	3.85	8.82	10.6	3.48	3.98	9.08	8.88	16.2
עמ	4.41	24.1	8.19	11.8	20.2	19.2	20.4	26.7	28	16.3	12	19.1	20.8	11.7	18.3	29.9	9.46	8.7	4.55	34.1	7.52	21	20.9	31.2	15.7	6.58	14.2	2.35	2.69	27.9	1.58	1.54	16.2	23.4	10	15.9	22.9	10.8	20.4
עמוד	0	5.38	0	0.952	0.378	0	1.22	0	0	4.33	1.36	0	0.882	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0.237	0.588	0.299	0	3.15	0	0	0.755	0	0	1.73	0.24	1.46
עצ	4.01	4.27	4	0.816	3.78	2.47	3.04	0.486	1.63	5.7	2.26	2.5	1.89	5.36	1.14	6.9	0	0	0	0	0	6.99	0	7.81	1.65	0	0.712	1.18	1.79	0	4.73	3.85	4.41	6.8	0	0.569	3.89	2.64	2.18
ערב	1.87	2.89	8.19	1.77	1.14	1.1	1.22	0.729	0.817	0.787	0.226	0.294	0.378	0.714	0	0	0	0	0	0	0	3.5	5.97	0	0.826	0	1.3	0.882	0.598	2.79	1.58	0.769	0	0.755	1.16	1.71	0.433	0.48	1.27
עשׁר	0.134	0	0	0	0	0	0	0.243	0	0.59	0	0	0.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356	0	2.69	0	0	4.62	0	1.51	0.772	0	0	0.48	1.09
עשׂר	2.27	1.65	1.14	4.9	0.568	2.47	2.13	0	2.99	4.92	2.04	0.294	0.252	1.19	1.14	0	0	0	0	0	0	0	0	0	1.65	0	0.119	0.588	0	2.79	0	0	0	13.6	2.32	6.25	1.73	13.7	2.37
עשׂרה	2.67	2.21	0.381	2.86	0	5.77	1.22	0.729	0.817	2.95	6.11	0.294	1.76	1.79	0	0	2.7	0	4.55	0	0	0	0	3.91	0.826	0	0	0	0	2.79	0	0.769	0	0.755	1.16	1.71	0.865	0.72	3.64
עשׂרימ	1.6	3.17	0.762	4.35	0.378	0.549	3.65	0.486	2.45	4.92	4.3	0	0.63	4.41	0	0	0	0	0	0	0	0	0	27.3	1.65	0	0	0	0	0	0	0	0	3.02	0.772	11.4	8.22	9.84	6.55
